Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Part number,Note
1,Unpolarized capacitor,C,C12 C14 C16,0.1uF,C_0805_HandSoldering,3,http://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL_Series_MLCC_ds.pdf,CL21F104ZBCNNNC,
2,Polarised capacitor,CP1,C4 C11 C13 C15 C17,10uF,CP_Elec_5x5.8,5,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1145.pdf,EEE-1VA100SR,
3,Unpolarized capacitor,C,C21,10uF,C_0805_HandSoldering,1,http://www.samsungsem.com/kr/support/product-search/mlcc/CL21A106KPFNNNG.jsp,CL21A106KPFNNNG,
4,Unpolarized capacitor,C,C26 C27 C28 C29,1nF,C_0805_HandSoldering,4,http://www.samsungsem.com/kr/support/product-search/mlcc/CL21C010CBANNNC.jsp,CL21C010CBANNNC,
5,Unpolarized capacitor,C,C3 C5 C6 C7 C8 C19 C20,1uF,C_0805_HandSoldering,7,http://www.yageo.com/documents/recent/UPY-GPHC_X7R_6.3V-to-50V_18.pdf,CC0805KKX7R6BB105,
6,Unpolarized capacitor,C,C18,2.2uF,C_0805_HandSoldering,1,https://api.kemet.com/component-edge/download/datasheet/C0805C225K8RACTU.pdf,C0805C225K8RACTU,
7,Unpolarized capacitor,C,C1 C2,22pF,C_0805_HandSoldering,2,https://4donline.ihs.com/images/VipMasterIC/IC/AVXC/AVXC-S-A0001944187/AVXC-S-A0001944187-1.pdf,08051A220KAT2A,
8,Unpolarized capacitor,C,C22 C23 C24 C25,4.7nF,C_0805_HandSoldering,4,https://api.kemet.com/component-edge/download/datasheet/C0805C472KARECAUTO.pdf,C0805C472KARECAUTO,
9,Polarised capacitor,CP1,C9 C10 C30 C31,47uF,CP_Elec_5x5.3,4,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1145.pdf,EEE-1CA470WR,Low ESR
10,LED generic,LED,D1,LED blue,LED_0805_HandSoldering,1,http://optoelectronics.liteon.com/upload/download/DS-22-99-0226/LTST-C170TBKT.pdf,LTST-C170TBKT,
